Koordinatensystem : Lambert konform konisch
Rechtswert        : 4141500 Meter
Hochwert          : 2680500 Meter
Hoehenlage        : 192 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4141500 2680500  1  1  1  -2.5  993 199  3.5 4  2.9  90    0    0 205 -284  3
4141500 2680500  1  1  2  -3.5  993 186  3.4 2  2.7  90    0    0 203 -284  3
4141500 2680500  1  1  3  -4.2  993 175  3.2 1  2.5  89    0    0 202 -283  3
4141500 2680500  1  1  4  -4.1  993 177  3.3 2  2.5  88    0    0 200 -282  3
4141500 2680500  1  1  5  -4.0  992 176  3.4 2  2.5  87    0    0 209 -282  3
4141500 2680500  1  1  6  -3.8  991 179  3.1 3  2.5  85    0    0 219 -282  3
4141500 2680500  1  1  7  -3.7  990 179  3.3 2  2.4  82    0    0 212 -282  3
4141500 2680500  1  1  8  -3.3  989 192  4.6 5  2.4  80    0    0 226 -282  3
4141500 2680500  1  1  9  -2.7  989 191  4.8 5  2.5  79    0    7 244 -282  3
4141500 2680500  1  1 10  -2.0  988 176  5.5 6  2.5  75    6   44 252 -284  3
4141500 2680500  1  1 11  -1.5  987 185  4.9 5  2.4  71   60   88 252 -290  3
4141500 2680500  1  1 12  -0.4  986 183  6.6 5  2.4  67   51  117 250 -297  3
4141500 2680500  1  1 13   0.5  986 174  6.4 6  2.5  63   29  121 258 -303  3
4141500 2680500  1  1 14   1.0  985 186  6.5 6  2.5  60    9   96 264 -307  3
4141500 2680500  1  1 15   1.1  984 185  7.4 8  2.5  59    0   49 278 -308  3
4141500 2680500  1  1 16   1.1  983 175  6.5 8  2.5  60    0   22 294 -310  3
4141500 2680500  1  1 17   1.5  983 185  7.9 8  2.6  60    0    0 298 -311  3
4141500 2680500  1  1 18   1.0  982 174  6.1 8  2.6  61    0    0 301 -311  3
4141500 2680500  1  1 19   1.7  982 184  6.3 8  2.8  64    0    0 304 -311  3
4141500 2680500  1  1 20   1.1  982 188  5.2 8  2.9  68    0    0 306 -312  3
4141500 2680500  1  1 21   1.0  981 183  4.2 8  3.2  76    0    0 307 -314  3
4141500 2680500  1  1 22   1.4  981 177  6.1 8  3.2  76    0    0 308 -316  3
4141500 2680500  1  1 23   1.3  980 187  4.8 8  3.1  72    0    0 308 -318  3
4141500 2680500  1  1 24   1.5  980 204  4.9 8  3.1  72    0    0 311 -319  3
4141500 2680500  1  2  1   1.8  981 172  4.2 8  3.1  70    0    0 312 -320  3
4141500 2680500  1  2  2   1.6  980 187  4.7 8  3.1  70    0    0 313 -321  3
4141500 2680500  1  2  3   1.7  980 180  5.2 7  3.2  72    0    0 305 -321  3
4141500 2680500  1  2  4   2.4  980 181  4.2 7  3.3  72    0    0 300 -323  3
4141500 2680500  1  2  5   2.5  980 177  5.8 8  3.4  72    0    0 310 -324  3
4141500 2680500  1  2  6   2.3  980 190  4.6 8  3.3  71    0    0 316 -325  3
4141500 2680500  1  2  7   2.5  980 172  4.7 7  3.4  72    0    0 308 -326  3
4141500 2680500  1  2  8   2.6  979 167  5.2 8  3.4  73    0    0 308 -327  3
4141500 2680500  1  2  9   2.6  979 171  5.3 8  3.4  72    0    5 315 -327  3
4141500 2680500  1  2 10   2.8  979 176  3.8 8  3.6  75    2   36 315 -328  3
4141500 2680500  1  2 11   3.1  979 172  4.1 7  3.7  77    0   45 308 -331  3
4141500 2680500  1  2 12   3.5  980 170  2.6 8  3.9  79    0   44 308 -334  3
4141500 2680500  1  2 13   4.0  979 182  4.7 8  4.2  82    0   47 318 -336  3
4141500 2680500  1  2 14   5.6  979 179  4.8 7  4.6  84    7   84 313 -339  3
4141500 2680500  1  2 15   5.6  979 191  6.2 6  4.9  83   14   64 298 -340  3
4141500 2680500  1  2 16   5.5  978 182  5.0 7  4.9  84    0   21 299 -339  3
4141500 2680500  1  2 17   5.0  979 160  4.7 7  4.8  85    0    0 308 -335  3
4141500 2680500  1  2 18   5.2  979 171  3.6 7  4.8  84    0    0 308 -332  3
4141500 2680500  1  2 19   4.4  979 173  5.0 8  4.8  86    0    0 316 -332  3
4141500 2680500  1  2 20   4.5  979 184  5.7 7  4.8  88    0    0 314 -332  3
4141500 2680500  1  2 21   3.9  979 173  5.7 5  4.7  88    0    0 291 -331  3
4141500 2680500  1  2 22   4.0  980 189  5.3 5  4.7  89    0    0 279 -330  3
4141500 2680500  1  2 23   3.9  980 186  5.4 5  4.7  90    0    0 281 -330  3
4141500 2680500  1  2 24   3.6  980 176  5.4 5  4.6  90    0    0 279 -331  3
4141500 2680500  1  3  1   3.8  980 177  3.8 5  4.6  90    0    0 276 -332  3
4141500 2680500  1  3  2   4.0  980 175  4.1 7  4.6  89    0    0 291 -333  3
4141500 2680500  1  3  3   3.8  980 188  3.5 8  4.6  88    0    0 308 -333  3
4141500 2680500  1  3  4   3.9  980 187  4.0 7  4.6  88    0    0 308 -332  3
4141500 2680500  1  3  5   3.7  980 191  4.1 7  4.5  88    0    0 300 -330  3
4141500 2680500  1  3  6   3.8  981 180  3.6 7  4.5  88    0    0 300 -330  3
4141500 2680500  1  3  7   4.3  981 189  4.3 6  4.5  87    0    0 294 -331  3
4141500 2680500  1  3  8   4.3  981 182  3.9 8  4.5  85    0    0 301 -331  3
4141500 2680500  1  3  9   4.1  982 194  4.8 8  4.5  86    0    5 311 -331  3
4141500 2680500  1  3 10   5.2  982 184  5.2 5  4.7  86   29   53 294 -333  3
4141500 2680500  1  3 11   6.1  983 203  5.2 5  4.9  83   72   94 279 -337  3
4141500 2680500  1  3 12   7.1  983 214  5.3 4  5.0  80   63  125 278 -341  3
4141500 2680500  1  3 13   7.2  983 222  5.2 5  5.0  78    5  100 282 -342  3
4141500 2680500  1  3 14   7.6  984 241  4.6 7  5.0  76    3   86 297 -343  3
4141500 2680500  1  3 15   7.1  984 218  2.9 7  5.0  76    0   47 306 -343  3
4141500 2680500  1  3 16   6.7  985 211  3.6 6  5.0  79    0   22 300 -341  3
4141500 2680500  1  3 17   5.2  985 180  2.7 5  4.9  82    0    1 287 -337  3
4141500 2680500  1  3 18   5.5  986 198  2.6 5  4.8  84    0    0 280 -330  3
4141500 2680500  1  3 19   4.6  987 198  3.0 6  4.7  84    0    0 283 -327  3
4141500 2680500  1  3 20   4.1  987 186  1.5 6  4.5  85    0    0 286 -329  3
4141500 2680500  1  3 21   4.0  987 195  2.1 5  4.5  86    0    0 280 -330  3
4141500 2680500  1  3 22   3.3  988 174  1.4 5  4.5  88    0    0 274 -329  3
4141500 2680500  1  3 23   2.8  988 188  1.7 4  4.3  89    0    0 267 -327  3
4141500 2680500  1  3 24   2.8  988 197  2.2 2  4.2  89    0    0 254 -327  3
4141500 2680500  1  4  1   1.9  988 183  1.6 2  4.1  89    0    0 243 -326  3
4141500 2680500  1  4  2   1.9  988 166  1.9 2  4.0  91    0    0 241 -325  3
4141500 2680500  1  4  3   1.4  987 170  2.5 2  4.0  91    0    0 238 -324  3
4141500 2680500  1  4  4   1.3  987 167  2.2 2  3.9  91    0    0 237 -325  3
4141500 2680500  1  4  5   1.2  986 165  2.5 2  3.9  91    0    0 235 -325  3
4141500 2680500  1  4  6   1.3  986 173  3.1 4  3.9  91    0    0 243 -326  3
4141500 2680500  1  4  7   1.3  985 165  3.5 6  3.9  91    0    0 263 -326  3
4141500 2680500  1  4  8   2.0  984 173  4.5 6  4.0  90    0    0 275 -326  3
4141500 2680500  1  4  9   2.3  983 176  3.8 6  4.0  88    0    5 276 -328  3
4141500 2680500  1  4 10   2.7  983 177  3.3 6  4.1  87   25   47 276 -329  3
4141500 2680500  1  4 11   3.6  983 178  1.7 7  4.1  83   66   83 286 -332  3
4141500 2680500  1  4 12   4.6  983 175  3.8 8  4.1  79   44  113 309 -336  3
4141500 2680500  1  4 13   5.4  982 174  2.4 8  4.2  75   23  115 322 -339  3
4141500 2680500  1  4 14   6.1  981 175  3.4 7  4.3  72   19  101 316 -341  3
4141500 2680500  1  4 15   6.1  981 183  3.4 8  4.2  70    9   68 318 -342  3
4141500 2680500  1  4 16   6.0  981 184  3.7 8  4.2  69    0   19 326 -341  3
4141500 2680500  1  4 17   5.6  981 166  4.3 8  4.2  70    0    0 326 -340  3
4141500 2680500  1  4 18   5.4  981 184  1.8 8  4.2  73    0    0 324 -339  3
4141500 2680500  1  4 19   6.2  981 186  4.7 7  4.4  75    0    0 319 -339  3
4141500 2680500  1  4 20   6.8  981 190  4.2 7  4.7  75    0    0 316 -341  3
4141500 2680500  1  4 21   5.9  981 192  5.3 7  4.7  76    0    0 315 -342  3
4141500 2680500  1  4 22   5.6  981 214  4.3 6  4.8  81    0    0 306 -343  3
4141500 2680500  1  4 23   5.7  982 210  4.1 6  4.9  84    0    0 300 -342  3
4141500 2680500  1  4 24   6.0  982 199  2.8 8  5.0  84    0    0 313 -340  3
4141500 2680500  1  5  1   6.6  982 190  4.7 7  5.1  83    0    0 321 -340  3
4141500 2680500  1  5  2   6.2  983 199  3.7 7  5.1  83    0    0 315 -340  3
4141500 2680500  1  5  3   5.8  983 187  4.0 4  5.0  83    0    0 296 -338  3
4141500 2680500  1  5  4   5.3  983 185  4.3 2  4.9  84    0    0 271 -338  3
4141500 2680500  1  5  5   4.5  983 185  3.9 3  4.8  86    0    0 266 -339  3
4141500 2680500  1  5  6   4.4  983 180  4.1 4  4.7  87    0    0 275 -339  3
4141500 2680500  1  5  7   4.2  982 164  3.6 4  4.7  88    0    0 280 -339  3
4141500 2680500  1  5  8   4.1  982 174  4.7 7  4.6  87    0    0 292 -336  3
4141500 2680500  1  5  9   4.9  981 169  4.1 7  4.6  85    0    2 304 -334  3
4141500 2680500  1  5 10   5.2  981 177  4.6 8  4.7  83    0   22 310 -333  3
4141500 2680500  1  5 11   5.4  980 176  4.4 7  4.7  82    0   46 311 -337  3
4141500 2680500  1  5 12   5.7  979 177  3.8 7  4.7  81    0   52 305 -341  3
4141500 2680500  1  5 13   6.2  978 167  4.0 7  4.7  78    0   59 304 -343  3
4141500 2680500  1  5 14   6.6  977 167  5.6 6  4.7  76    2   88 293 -343  3
4141500 2680500  1  5 15   6.7  975 177  5.7 8  4.7  75    0   29 303 -342  3
