Koordinatensystem : Lambert konform konisch
Rechtswert        : 4087500 Meter
Hochwert          : 2373500 Meter
Hoehenlage        : 631 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4087500 2373500  1  1  1   4.5  931 192  2.1 8  4.5  82    0    0 312 -318  0
4087500 2373500  1  1  2   3.2  931 192  2.0 8  4.4  88    0    0 312 -317  0
4087500 2373500  1  1  3   2.0  931 189  1.8 8  4.4  92    0    0 311 -317  0
4087500 2373500  1  1  4   2.0  931 189  2.0 8  4.4  93    0    0 311 -316  0
4087500 2373500  1  1  5   2.1  931 188  2.3 8  4.4  92    0    0 302 -316  0
4087500 2373500  1  1  6   1.8  931 188  2.5 8  4.4  92    0    0 301 -316  0
4087500 2373500  1  1  7   2.8  931 189  3.1 8  4.4  90    0    0 309 -317  0
4087500 2373500  1  1  8   2.1  931 197  2.8 8  4.4  89    0    0 310 -317  0
4087500 2373500  1  1  9   2.0  932 211  2.4 7  4.3  90    0    5 300 -317  0
4087500 2373500  1  1 10   2.3  933 229  2.4 6  4.3  89    1   59 283 -317  0
4087500 2373500  1  1 11   2.6  934 231  1.6 6  4.3  87   12  115 275 -320  0
4087500 2373500  1  1 12   3.1  934 252  2.5 5  4.2  84   45  167 265 -323  0
4087500 2373500  1  1 13   3.2  934 247  2.1 6  4.1  80   36  171 271 -325  0
4087500 2373500  1  1 14   3.2  934 246  1.9 6  4.0  78   33  154 281 -325  0
4087500 2373500  1  1 15   3.1  934 271  0.8 5  3.9  76   29  101 273 -324  0
4087500 2373500  1  1 16   1.4  934 201  1.0 7  3.9  80    1   42 278 -322  0
4087500 2373500  1  1 17   0.8  933 137  1.4 6  3.8  86    0    0 281 -319  0
4087500 2373500  1  1 18   0.5  933  97  0.8 6  3.8  89    0    0 272 -317  0
4087500 2373500  1  1 19  -0.8  934 139  1.2 7  3.7  92    0    0 276 -316  0
4087500 2373500  1  1 20  -1.2  934 127  1.1 7  3.6  94    0    0 282 -315  0
4087500 2373500  1  1 21  -1.8  935 115  0.5 7  3.6  97    0    0 280 -315  0
4087500 2373500  1  1 22  -2.1  934 157  0.4 8  3.5  98    0    0 287 -315  0
4087500 2373500  1  1 23  -1.7  935 342  0.2 8  3.4  95    0    0 294 -315  0
4087500 2373500  1  1 24  -2.3  935 354  0.5 8  3.4  96    0    0 294 -315  0
4087500 2373500  1  2  1  -1.9  936  28  0.5 6  3.4  97    0    0 277 -315  0
4087500 2373500  1  2  2  -1.7  935  44  0.5 6  3.4  95    0    0 260 -315  0
4087500 2373500  1  2  3  -1.8  935  13  0.1 6  3.5  96    0    0 258 -315  0
4087500 2373500  1  2  4  -2.1  936  42  0.8 6  3.5  99    0    0 254 -315  0
4087500 2373500  1  2  5  -2.4  936 341  0.3 5  3.5  99    0    0 243 -315  0
4087500 2373500  1  2  6  -1.9  937   9  0.3 5  3.4  98    0    0 237 -314  0
4087500 2373500  1  2  7  -1.6  937  27  0.0 7  3.5  98    0    0 258 -314  0
4087500 2373500  1  2  8  -1.3  938   0  0.2 7  3.6  98    0    0 276 -314  0
4087500 2373500  1  2  9  -1.4  938 337  0.4 8  3.7  99    0   11 285 -314  0
4087500 2373500  1  2 10  -0.9  939 355  0.6 7  3.7  99    0   42 285 -313  0
4087500 2373500  1  2 11  -1.0  940 355  1.1 7  3.8  98    0   54 277 -314  0
4087500 2373500  1  2 12  -0.8  940 336  1.2 8  3.8  98    0   63 286 -315  0
4087500 2373500  1  2 13  -0.7  941 344  1.2 7  3.8  97    0   69 286 -315  0
4087500 2373500  1  2 14  -0.6  941 334  1.5 8  3.7  96    0   57 286 -315  0
4087500 2373500  1  2 15  -0.6  941 331  1.7 7  3.7  95    4   81 286 -315  0
4087500 2373500  1  2 16  -0.5  942 328  1.6 8  3.7  95    1   38 286 -314  0
4087500 2373500  1  2 17  -0.6  943 318  1.7 8  3.7  95    0    0 292 -313  0
4087500 2373500  1  2 18  -0.6  943 325  1.8 8  3.7  94    0    0 291 -313  0
4087500 2373500  1  2 19  -0.7  944 332  1.6 7  3.7  94    0    0 285 -312  0
4087500 2373500  1  2 20  -0.4  944 315  1.5 8  3.7  94    0    0 285 -312  0
4087500 2373500  1  2 21  -0.4  945 315  1.4 8  3.7  94    0    0 292 -312  0
4087500 2373500  1  2 22  -0.5  945 326  1.1 8  3.7  94    0    0 291 -312  0
4087500 2373500  1  2 23  -0.6  946 329  1.8 8  3.7  95    0    0 289 -312  0
4087500 2373500  1  2 24  -0.6  947 335  1.4 8  3.7  94    0    0 289 -311  0
4087500 2373500  1  3  1  -0.7  947 321  1.5 7  3.6  93    0    0 283 -310  0
4087500 2373500  1  3  2  -0.9  947 331  1.6 8  3.6  93    0    0 282 -310  0
4087500 2373500  1  3  3  -1.1  948 312  1.5 8  3.6  94    0    0 288 -310  0
4087500 2373500  1  3  4  -1.0  948 302  1.3 8  3.6  95    0    0 287 -309  0
4087500 2373500  1  3  5  -1.1  949 295  1.6 8  3.5  94    0    0 286 -308  0
4087500 2373500  1  3  6  -1.2  949 281  1.3 8  3.5  95    0    0 285 -308  0
4087500 2373500  1  3  7  -1.1  949 281  1.6 8  3.5  95    0    0 285 -308  0
4087500 2373500  1  3  8  -1.1  950 281  1.2 8  3.6  95    0    0 286 -308  0
4087500 2373500  1  3  9  -1.0  950 302  1.1 8  3.6  95    6   20 285 -307  0
4087500 2373500  1  3 10  -0.7  950 304  0.9 5  3.6  95   14   85 266 -308  0
4087500 2373500  1  3 11  -0.2  951 317  1.0 7  3.7  94    0   86 262 -310  0
4087500 2373500  1  3 12   0.0  951 306  1.2 8  3.7  92    0   59 280 -311  0
4087500 2373500  1  3 13   0.3  951 311  1.1 7  3.7  90    0   74 280 -312  0
4087500 2373500  1  3 14   0.0  951 326  0.9 8  3.6  88    0   68 280 -313  0
4087500 2373500  1  3 15   0.2  951 316  2.1 8  3.6  88    0   61 286 -313  0
4087500 2373500  1  3 16  -0.3  952 339  1.5 8  3.5  88    0   27 286 -312  0
4087500 2373500  1  3 17  -0.8  951 345  1.6 8  3.5  90    0    0 285 -310  0
4087500 2373500  1  3 18  -1.2  952 349  1.5 8  3.4  90    0    0 283 -308  0
4087500 2373500  1  3 19  -1.8  952  10  0.4 8  3.3  92    0    0 282 -307  0
4087500 2373500  1  3 20  -1.9  952   7  0.5 8  3.3  94    0    0 280 -306  0
4087500 2373500  1  3 21  -2.2  953  10  0.5 8  3.3  94    0    0 279 -305  0
4087500 2373500  1  3 22  -2.9  953   7  0.1 7  3.2  95    0    0 272 -305  0
4087500 2373500  1  3 23  -2.8  953  10  0.1 7  3.1  95    0    0 266 -305  0
4087500 2373500  1  3 24  -2.8  953  14  0.4 8  3.1  95    0    0 272 -304  0
4087500 2373500  1  4  1  -2.5  953   7  1.0 8  3.1  95    0    0 278 -304  0
4087500 2373500  1  4  2  -2.4  952  31  0.5 7  3.2  95    0    0 274 -304  0
4087500 2373500  1  4  3  -2.1  952  47  1.3 8  3.2  95    0    0 275 -303  0
4087500 2373500  1  4  4  -2.1  952  39  1.5 6  3.3  96    0    0 269 -303  0
4087500 2373500  1  4  5  -2.1  951  51  2.0 6  3.3  95    0    0 259 -303  0
