Koordinatensystem : Lambert konform konisch
Rechtswert        : 3997500 Meter
Hochwert          : 2564500 Meter
Hoehenlage        : 208 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3997500 2564500  1  1  1   3.4  999 178  1.6 8  4.6  89    0    0 336 -336  1
3997500 2564500  1  1  2   5.0  999 205  1.5 8  5.1  91    0    0 328 -337  1
3997500 2564500  1  1  3   6.2  999 227  1.5 7  5.5  92    0    0 320 -338  1
3997500 2564500  1  1  4   6.2 1000 230  1.7 7  5.5  92    0    0 328 -339  1
3997500 2564500  1  1  5   6.3 1000 237  1.7 7  5.6  92    0    0 323 -339  1
3997500 2564500  1  1  6   6.3 1000 239  1.3 6  5.6  92    0    0 311 -339  1
3997500 2564500  1  1  7   6.5 1000 282  1.8 8  5.7  94    0    0 324 -339  1
3997500 2564500  1  1  8   6.1 1000 263  0.9 6  5.7  94    0    0 322 -339  1
3997500 2564500  1  1  9   6.3 1000 273  2.1 7  5.8  96    0    5 314 -338  1
3997500 2564500  1  1 10   6.3 1001 248  2.2 8  5.8  97    0   23 328 -338  1
3997500 2564500  1  1 11   6.6 1001 292  1.5 8  5.8  95    0   36 335 -338  1
3997500 2564500  1  1 12   6.8 1001 231  1.3 7  5.9  95    0   53 330 -340  1
3997500 2564500  1  1 13   6.9 1001 228  1.9 7  6.0  97    0   67 324 -342  1
3997500 2564500  1  1 14   6.9 1000 238  2.2 8  6.0  96    0   30 329 -343  1
3997500 2564500  1  1 15   6.9  999 200  2.5 8  5.9  94    0   25 334 -344  1
3997500 2564500  1  1 16   7.3  999 212  2.9 8  5.8  91    6   31 334 -343  1
3997500 2564500  1  1 17   6.7  999 218  2.8 6  5.6  89    0    6 320 -340  1
3997500 2564500  1  1 18   5.5  998 229  3.4 7  5.3  89    0    0 310 -333  1
3997500 2564500  1  1 19   5.7  998 231  4.0 7  5.2  90    0    0 315 -327  1
3997500 2564500  1  1 20   6.1  997 220  4.4 7  5.2  88    0    0 315 -326  1
3997500 2564500  1  1 21   6.0  997 212  4.9 8  5.2  87    0    0 323 -329  1
3997500 2564500  1  1 22   6.2  996 224  4.5 8  5.2  87    0    0 332 -332  1
3997500 2564500  1  1 23   6.4  996 211  3.6 8  5.3  88    0    0 333 -335  1
