Koordinatensystem : Lambert konform konisch
Rechtswert        : 3870500 Meter
Hochwert          : 2830500 Meter
Hoehenlage        : 69 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3870500 2830500  1  1  1  -0.2  983 200  2.9 6  3.6  89    0    0 270 -319  0
3870500 2830500  1  1  2   1.5  983 240  2.7 4  4.0  90    0    0 265 -319  0
3870500 2830500  1  1  3   2.7  984 268  2.6 3  4.3  90    0    0 247 -319  0
3870500 2830500  1  1  4   2.3  985 268  2.6 2  4.2  90    0    0 227 -319  0
3870500 2830500  1  1  5   2.1  985 267  2.8 1  4.1  89    0    0 214 -318  0
3870500 2830500  1  1  6   1.9  986 270  2.9 1  4.0  89    0    0 214 -318  0
3870500 2830500  1  1  7   1.9  986 270  3.2 3  3.9  88    0    0 230 -318  0
3870500 2830500  1  1  8   2.0  987 270  3.4 4  4.0  88    0    0 245 -315  0
3870500 2830500  1  1  9   1.6  988 270  3.4 4  3.9  88    0    0 249 -313  0
3870500 2830500  1  1 10   1.8  988 270  3.4 4  3.8  86   10   38 249 -314  0
3870500 2830500  1  1 11   2.0  989 270  4.2 4  3.6  81   12   73 248 -316  0
3870500 2830500  1  1 12   2.0  990 280  4.7 4  3.4  77   55  104 247 -317  0
3870500 2830500  1  1 13   2.3  990 270  4.5 5  3.4  74   54  112 252 -318  0
3870500 2830500  1  1 14   1.9  990 260  5.4 6  3.4  75    1   74 261 -317  0
3870500 2830500  1  1 15   0.3  989 250  4.3 8  3.5  82    0   36 271 -315  0
3870500 2830500  1  1 16   0.2  988 260  5.1 7  3.6  91    0   15 274 -314  0
3870500 2830500  1  1 17   0.1  988 260  4.0 8  3.7  93    0    0 272 -313  0
3870500 2830500  1  1 18  -0.1  988 250  4.9 6  3.6  92    0    0 268 -313  0
3870500 2830500  1  1 19   0.0  988 260  5.3 7  3.5  90    0    0 264 -313  0
3870500 2830500  1  1 20   0.2  987 250  6.9 8  3.5  90    0    0 275 -313  0
3870500 2830500  1  1 21   0.1  986 250  7.0 7  3.6  92    0    0 277 -313  0
3870500 2830500  1  1 22   0.5  986 270  6.2 8  3.8  95    0    0 279 -314  0
3870500 2830500  1  1 23   0.8  986 290  4.2 8  3.9  94    0    0 287 -315  0
3870500 2830500  1  1 24   0.5  987 280  4.0 8  3.9  94    0    0 288 -316  0
3870500 2830500  1  2  1   0.6  988 270  4.7 8  3.9  95    0    0 289 -317  0
3870500 2830500  1  2  2   1.1  988 280  5.0 6  3.9  94    0    0 283 -316  0
3870500 2830500  1  2  3   1.5  989 270  5.4 5  3.9  92    0    0 273 -317  0
3870500 2830500  1  2  4   1.7  990 270  4.9 6  3.9  90    0    0 276 -317  0
3870500 2830500  1  2  5   1.5  990 270  5.1 5  3.9  90    0    0 277 -316  0
3870500 2830500  1  2  6   1.4  990 270  5.1 5  4.0  92    0    0 273 -316  0
3870500 2830500  1  2  7   1.1  990 300  4.9 7  4.0  94    0    0 281 -317  0
3870500 2830500  1  2  8   1.0  990 280  4.2 6  4.0  95    0    0 285 -317  0
3870500 2830500  1  2  9   1.1  992 300  3.5 6  4.0  95    0    0 280 -318  0
3870500 2830500  1  2 10   1.1  993 310  2.4 5  3.9  94   12   30 272 -318  0
3870500 2830500  1  2 11   1.5  995 300  2.0 4  3.9  92   24   62 258 -319  0
3870500 2830500  1  2 12   1.6  996 300  2.5 5  3.9  91    3   74 259 -319  0
3870500 2830500  1  2 13   1.6  998 310  2.5 5  4.0  91   45   90 267 -319  0
3870500 2830500  1  2 14   1.6  999 320  0.5 5  3.8  89   45   80 267 -319  0
3870500 2830500  1  2 15   1.7 1000 320  3.2 6  3.7  86    0   44 274 -318  0
3870500 2830500  1  2 16   1.2 1002 320  3.0 6  3.7  87   10   27 279 -318  0
3870500 2830500  1  2 17   1.1 1003 320  3.4 8  3.7  88    0    1 289 -317  0
3870500 2830500  1  2 18   1.0 1004 330  3.6 7  3.7  88    0    0 294 -316  0
3870500 2830500  1  2 19   1.0 1006 350  2.5 7  3.7  89    0    0 289 -315  0
3870500 2830500  1  2 20   1.0 1007 360  2.2 7  3.6  88    0    0 288 -315  0
3870500 2830500  1  2 21   0.8 1009 360  3.5 6  3.4  84    0    0 282 -315  0
3870500 2830500  1  2 22   0.2 1010   0  2.8 3  3.2  80    0    0 257 -314  0
3870500 2830500  1  2 23  -0.3 1011 340  2.2 3  3.0  80    0    0 238 -313  0
3870500 2830500  1  2 24  -0.3 1013 340  2.5 4  3.0  81    0    0 242 -314  0
3870500 2830500  1  3  1  -0.7 1014 310  2.0 5  3.0  81    0    0 255 -313  0
3870500 2830500  1  3  2  -0.9 1015 320  1.4 6  2.9  82    0    0 265 -312  0
3870500 2830500  1  3  3  -1.1 1015 323  0.8 7  3.0  84    0    0 276 -311  0
3870500 2830500  1  3  4  -0.7 1016 290  0.5 7  3.0  85    0    0 283 -310  0
3870500 2830500  1  3  5  -0.5 1017 300  0.8 7  3.1  84    0    0 283 -308  0
3870500 2830500  1  3  6  -0.3 1018 353  0.9 7  3.1  84    0    0 282 -308  0
3870500 2830500  1  3  7  -0.1 1018  20  0.9 6  3.2  85    0    0 277 -306  0
3870500 2830500  1  3  8   0.5 1019  10  1.3 7  3.2  83    0    0 276 -301  0
3870500 2830500  1  3  9   0.6 1020  20  1.5 7  3.2  81    0    0 280 -298  0
3870500 2830500  1  3 10   0.6 1021  20  1.1 7  3.2  82    2   30 278 -297  0
3870500 2830500  1  3 11   0.6 1022  40  1.4 5  3.2  82   31   68 268 -298  0
3870500 2830500  1  3 12   0.7 1023  60  2.1 2  3.1  80   95   75 241 -301  0
3870500 2830500  1  3 13   0.8 1023  50  2.5 2  3.0  75  108   79 225 -304  0
3870500 2830500  1  3 14   1.0 1023  70  1.5 2  2.9  72   95   74 225 -306  0
3870500 2830500  1  3 15   1.1 1023  60  1.0 1  2.8  70   89   45 220 -305  0
3870500 2830500  1  3 16   0.5 1023  40  1.4 1  2.8  71   41   25 214 -303  0
3870500 2830500  1  3 17  -0.9 1024  40  0.9 2  2.9  78    0    3 217 -299  0
3870500 2830500  1  3 18  -2.0 1024  60  0.9 1  2.8  84    0    0 213 -295  0
3870500 2830500  1  3 19  -2.6 1025 110  0.6 1  2.8  88    0    0 206 -292  0
3870500 2830500  1  3 20  -3.1 1025 110  0.9 1  2.7  90    0    0 205 -291  0
3870500 2830500  1  3 21  -3.7 1025  90  0.5 0  2.7  91    0    0 200 -291  0
3870500 2830500  1  3 22  -4.7 1025 100  0.8 0  2.5  91    0    0 193 -290  0
3870500 2830500  1  3 23  -4.8 1026  85  0.0 0  2.4  90    0    0 191 -289  0
3870500 2830500  1  3 24  -5.6 1026 130  0.5 0  2.3  90    0    0 191 -288  0
3870500 2830500  1  4  1  -6.2 1026  70  0.0 0  2.2  91    0    0 189 -288  0
3870500 2830500  1  4  2  -7.2 1026  90  0.5 0  2.1  91    0    0 186 -287  0
3870500 2830500  1  4  3  -8.1 1026  70  0.6 0  1.9  91    0    0 183 -286  0
3870500 2830500  1  4  4  -8.0 1026  90  0.9 0  1.9  92    0    0 182 -285  0
3870500 2830500  1  4  5  -7.8 1026  90  0.5 0  1.9  92    0    0 182 -284  0
3870500 2830500  1  4  6  -8.9 1026  90  0.1 0  1.8  91    0    0 180 -283  0
3870500 2830500  1  4  7  -8.9 1026  70  0.3 1  1.7  90    0    0 182 -282  0
3870500 2830500  1  4  8  -9.5 1026  90  0.5 3  1.7  89    0    0 190 -281  0
3870500 2830500  1  4  9  -8.5 1026  90  0.6 4  1.7  90    0    0 198 -280  0
3870500 2830500  1  4 10  -8.5 1026 130  0.6 2  1.8  90   18   35 196 -279  0
3870500 2830500  1  4 11  -7.4 1027 100  0.6 2  1.8  90   69   66 191 -281  0
3870500 2830500  1  4 12  -5.4 1027 100  0.2 1  2.1  91  147   65 193 -285  0
3870500 2830500  1  4 13  -5.3 1026  90  0.5 1  2.3  90  136   77 192 -289  0
3870500 2830500  1  4 14  -5.2 1026  80  0.9 0  2.2  88  143   63 189 -291  0
3870500 2830500  1  4 15  -4.8 1025  90  0.9 2  2.2  85  116   46 194 -291  0
3870500 2830500  1  4 16  -5.4 1025 100  0.5 2  2.1  83   41   30 200 -289  0
3870500 2830500  1  4 17  -6.1 1025 100  1.2 1  2.1  85    0    4 195 -285  0
3870500 2830500  1  4 18  -6.3 1025  90  0.8 0  2.0  87    0    0 187 -282  0
3870500 2830500  1  4 19  -6.4 1026  80  0.8 2  2.0  88    0    0 190 -280  0
3870500 2830500  1  4 20  -6.5 1026 100  0.4 1  2.0  87    0    0 192 -279  0
3870500 2830500  1  4 21  -6.7 1026 110  0.8 1  2.0  86    0    0 189 -278  0
